파일명,광고명(소재),캠페인,광고세트,소재유형
celeb_package_260710.jpg,celeb_package_260710,[vanced]_directwedding_main_260707,sm _2065_260710_celeb,가격 & 패키지형태 소구형 소재
celeb_package_260722.jpg,celeb_package_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
celeb_package_260724.jpg,celeb_package_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
package_199sdm01_260723.jpg,package_199sdm01_260723,[vanced]_directwedding_main_260707,sm _2065_260714_studio,가격 & 패키지형태 소구형 소재
package_199sdm02_260723.jpg,package_199sdm02_260723,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
package_199sdm02_260724.jpg,package_199sdm02_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
package_200sdm01_260724.jpg,package_200sdm01_260724,[vanced]_directwedding_main_260707,sm _2065_260714_studio,가격 & 패키지형태 소구형 소재
package_200sdm02_260724.jpg,package_200sdm02_260724,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
package_200studio_260714.jpg,package_200studio_260714,[vanced]_directwedding_main_260707,sm _2065_260714_studio,가격 & 패키지형태 소구형 소재
package_200studio_260722.jpg,package_200studio_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
package_200studio_260724.jpg,package_200studio_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
package_bride_260714.jpg,package_bride_260714,[vanced]_directwedding_main_260707,sm _2065_260714_bride,가격 & 패키지형태 소구형 소재
package_sdm_260715.jpg,package_sdm_260715,[vanced]_directwedding_main_260707,sm _2065_260714_studio,가격 & 패키지형태 소구형 소재
package_sdm_260722.jpg,package_sdm_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
package_sdm_260724.jpg,package_sdm_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
package_studio_260714.jpg,package_studio_260714,[vanced]_directwedding_main_260707,sm _2065_260714_studio,가격 & 패키지형태 소구형 소재
packgage_lineup_260722.jpg,packgage_lineup_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
packgage_lineup_260724.jpg,packgage_lineup_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
popular_company_260707.jpg,popular_company_260707,[vanced]_directwedding_mainTEST_260707,sm _2065_260707_company,가격 & 패키지형태 소구형 소재
popular_company_260722.jpg,popular_company_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 & 패키지형태 소구형 소재
popular_company_260724.jpg,popular_company_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 & 패키지형태 소구형 소재
ugc_3point_260703.jpg,ugc_3point_260703,[vanced]_directwedding_main_260703,sm _2050_260703,UGC(가상 인플루언서) 소재
ugc_3point_260707.jpg,ugc_3point_260707,[vanced]_directwedding_main_260707,sm _2065_260707_3point,UGC(가상 인플루언서) 소재
ugc_final_260715.jpg,ugc_final_260715,[vanced]_directwedding_main_260707,sm _2065_260714_final,UGC(가상 인플루언서) 소재
ugc_five_260714.jpg,ugc_five_260714,[vanced]_directwedding_main_260707,sm _2065_260714_five,UGC(가상 인플루언서) 소재
ugc_money_260714.jpg,ugc_money_260714,[vanced]_directwedding_main_260707,sm _2065_260714_money,UGC(가상 인플루언서) 소재
ugc_time_260707.jpg,ugc_time_260707,[vanced]_directwedding_main_260707,sm _2065_260707_time,UGC(가상 인플루언서) 소재
ugc_time_260722.jpg,ugc_time_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,UGC(가상 인플루언서) 소재
ugc_time_260724.jpg,ugc_time_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,UGC(가상 인플루언서) 소재
wedding_realprice_260721.jpg,wedding_realprice_260721,[vanced]_directwedding_main_260707,sm _2065_260721_realprice,가격 소구형 영상 소재
wedding_realprice_260722.jpg,wedding_realprice_260722,[vanced]_directwedding_landingTEST_260722,sm _2065_260722_package_winning,가격 소구형 영상 소재
wedding_realprice_260724.jpg,wedding_realprice_260724,[vanced]_directwedding_landingTEST_fair_260724,sm _2065_260724_fair_winning,가격 소구형 영상 소재
